comment_id,username,comment_text,is_offensive,offense_type,explanation,severity
1,LilyLove23,"I absolutely adore this new product, it's changed my life for the better!",False,,"The comment expresses positive feedback about a product and does not contain any offensive language, hate speech, or harassment.",
2,SarcasticSam,"Oh great, just what I needed, another overpriced gadget to clutter my room, thanks for nothing.",False,,"The comment expresses frustration about a product but does not contain profanity, hate speech, toxicity, or harassment.",
3,ToxicTom22,"You're an idiot if you think this product is any good, it's a complete waste of money.",True,toxicity,"The comment contains an insult ('You're an idiot') directed at the person’s opinion, which is considered rude and dismissive.",3
4,Hater3000,"I hate this company and everything they stand for, they're ruining the world with their greedy practices.",True,toxicity,"The comment expresses strong negative feelings towards a company and its practices, which can be considered toxic due to the harsh language used.",3
5,ProfanePaul,"This product is freaking awesome, I'm so damn happy I bought it, it's the best damn thing I've ever seen.",True,profanity,Flagged by better_profanity,1
6,Harasser88,"You're so stupid for using this product, you must be a total moron to think it's any good.",True,profanity,Flagged by better_profanity,1
7,SpamBot123,"Check out this amazing opportunity to make money from home, click the link in my profile to learn more.",False,,"The comment promotes an opportunity to make money from home and does not contain any offensive content, profanity, hate speech, toxicity, or harassment.",
8,NeutralNancy,"I'm not really sure about this product, I need to do some more research before I make a decision.",False,,"The comment expresses uncertainty about a product and indicates a need for further research, which is neutral and does not contain any offensive content.",
9,RacistRick,"This product is only good for certain types of people, if you know what I mean, it's not for everyone.",True,hate speech,"The comment implies that the product is only suitable for certain 'types of people,' which suggests a discriminatory viewpoint based on unspecified characteristics, potentially targeting a specific group.",3
10,TrollTina,"I'm just here to stir up some trouble, let's get a fight going in the comments, who's with me?",True,toxicity,"The comment encourages conflict and disruption in the comments section, which can create a toxic environment.",3
11,LilyP123,"I love this new feature, it's so easy to use and intuitive!",False,,The comment expresses a positive opinion about a new feature and contains no offensive language or sentiments.,
12,TrollKing90,"This is the worst update ever, you guys are idiots and should be fired!",True,toxicity,"The comment contains insults directed at the developers, calling them 'idiots' and suggesting they should be fired, which reflects a rude and aggressive tone.",3
13,SarcasticSally,"Wow, great job on breaking the app, I was getting so bored with it working properly.",False,,"The comment expresses frustration in a sarcastic manner but does not contain profanity, hate speech, toxicity, or harassment.",
14,HateSpeechHarry,"I don't think people of a certain race should be allowed to use this platform, they're ruining it for everyone else.",True,hate speech,"The comment expresses a discriminatory belief against a specific race, suggesting they should be excluded from the platform, which constitutes hate speech.",5
15,ProfanityPam,"This app is freaking amazing, I'm so f***ing happy with the new design!",True,profanity,"The comment contains profanity ('f***ing'), which is considered offensive language, though it is used in a positive context.",2
16,SpamBot3000,"Make money fast, click this link to earn $1000 in just one day: https://get.rich.quick",False,,"The comment promotes a money-making scheme and contains no profanity, hate speech, toxicity, or harassment.",
17,NeutralNancy,"I'm not sure about this new update, I need to use it more to form an opinion.",False,,"The comment expresses uncertainty about a new update and indicates a need for more experience before forming an opinion. It does not contain any offensive language, hate speech, toxicity, or harassment.",
18,Harasser2000,"You're so stupid for thinking this is a good idea, I'm going to make sure to report you to the admins.",True,profanity,Flagged by better_profanity,1
19,ToxicTom,"This is the most garbage update I've ever seen, the devs must be a bunch of incompetent morons.",True,toxicity,"The comment expresses strong negative feelings towards the developers using derogatory language, labeling them as 'incompetent morons,' which is insulting and disrespectful.",3
20,JokesterJim,"I'm just here for the free food, where's the pizza party?",False,,The comment is light-hearted and expresses a desire for food without any offensive language or intent.,
21,LilyLove23,"I absolutely adore this product, it's changed my life for the better!",False,,The comment expresses positive sentiment towards a product and does not contain any offensive language or content.,
22,SarcasticSam,"Wow, this is the most amazing thing I've ever seen, said no one ever.",False,,"The comment expresses a negative opinion but does not contain profanity, hate speech, toxicity, or harassment.",
23,ToxicTom90,"You're an idiot if you don't like this, it's the best thing since sliced bread.",True,toxicity,"The comment includes an insult ('You're an idiot') directed at those who disagree, which reflects a rude and dismissive attitude.",3
24,HateSpeechHarry,"People from that country are so ignorant and stupid, they don't deserve our respect.",True,profanity,Flagged by better_profanity,1
25,ProfanePaul,"This product is freaking awesome, I love it so damn much!",True,profanity,Flagged by better_profanity,1
26,HarasserHank,"You're so ugly, I bet you can't even get a date, loser.",True,profanity,Flagged by better_profanity,1
27,SpammySteve,"Check out this amazing website, it's got the best deals on fake watches and ray bans!",False,,"The comment promotes a website without using any offensive language, profanity, or hate speech.",
28,NeutralNancy,"I'm not really sure about this product, I need to do some more research before I make a decision.",False,,"The comment expresses uncertainty about a product and indicates a need for further research, which is a neutral and constructive statement.",
29,RacistRachel,"I don't think people of that race should be allowed to use this product, it's not for them.",True,hate speech,"The comment expresses a discriminatory viewpoint against a specific race, suggesting they should be excluded from using a product, which constitutes hate speech.",5
30,TrollTina,"This is the worst product I've ever used, it's so bad it's good, lol what a joke.",False,,"The comment expresses dissatisfaction with a product but does so in a humorous manner without using profanity, hate speech, or harassment.",
31,EmilyChen23,"I loved this article, it's so informative and well-researched!",False,,The comment expresses a positive opinion about an article and contains no offensive language or sentiments.,
32,SarcasticSam,"Wow, what a totally not-biased or misleading headline, great job guys",True,toxicity,"The comment expresses a sarcastic and dismissive tone towards the headline, which can be considered rude and disrespectful.",2
33,SportsFan4Life,"The ref was blind, that was a total foul! You suck, Johnson!",True,profanity,Flagged by better_profanity,1
34,HannahBanana,"This product is amazing, I've been using it for weeks and I've seen such a difference!",False,,The comment expresses a positive opinion about a product without any offensive language or intent.,
35,TrollMaster9000,"You're all just sheep following the mainstream media, wake up sheeple!",True,toxicity,"The comment uses derogatory language ('sheep' and 'sheeple') to insult and belittle others, suggesting they are blindly following mainstream media. This reflects a toxic attitude.",3
36,ProfanityPete,"This movie is freaking awesome, I loved every damn minute of it!",True,profanity,Flagged by better_profanity,1
37,SpamBot3000,"Make money fast, click this link to learn how: https://getrichquick.com",False,,"The comment promotes a link for making money quickly but does not contain any profanity, hate speech, toxicity, or harassment.",
38,RachelRacist,"I don't think people of that race should be allowed to participate in this competition, it's just not fair",True,hate speech,"The comment expresses a discriminatory belief against a specific race, suggesting they should be excluded from participation based on their race, which constitutes hate speech.",5
39,Harasser2000,"You're so stupid for thinking that, I bet you can't even get a real job",True,profanity,Flagged by better_profanity,1
40,NeutralNancy,"I'm not really sure what to think about this issue, can someone explain it to me?",False,,The comment is a neutral inquiry seeking clarification on an issue and does not contain any offensive language or sentiments.,
41,tech_no_logic,"This is an amazing product, I highly recommend it to everyone!",False,,The comment expresses a positive opinion about a product without any offensive language or intent.,
42,skeptical_sally,"I'm not sure about this, can someone explain how it works?",False,,The comment is a neutral inquiry seeking clarification and does not contain any offensive content.,
43,hater2000,This product is trash and the company is run by incompetent idiots.,True,toxicity,"The comment expresses strong negative feelings towards the product and the company, using derogatory language to describe the company's management as 'incompetent idiots', which is insulting.",3
44,lovepeace123,We should all just get along and respect each other's opinions.,False,,"The comment promotes harmony and respect for differing opinions, which is positive and non-offensive.",
45,troll_master,"What's wrong with you people, can't you see this is just a scam to take your money?",True,toxicity,"The comment expresses frustration and condescension towards a group of people, implying they are foolish for not recognizing a scam. This can be considered toxic as it belittles others.",3
46,profanity_pete,"This product is freaking awesome, I'm so damn happy I bought it!",True,profanity,Flagged by better_profanity,1
