comment_id,username,comment_text
1,LilyLove23,"I absolutely adore this new product, it's changed my life for the better!"
2,SarcasticSam,"Oh great, just what I needed, another overpriced gadget to clutter my room, thanks for nothing."
3,ToxicTom22,"You're an idiot if you think this product is any good, it's a complete waste of money."
4,Hater3000,"I hate this company and everything they stand for, they're ruining the world with their greedy practices."
5,ProfanePaul,"This product is freaking awesome, I'm so damn happy I bought it, it's the best damn thing I've ever seen."
6,Harasser88,"You're so stupid for using this product, you must be a total moron to think it's any good."
7,SpamBot123,"Check out this amazing opportunity to make money from home, click the link in my profile to learn more."
8,NeutralNancy,"I'm not really sure about this product, I need to do some more research before I make a decision."
9,RacistRick,"This product is only good for certain types of people, if you know what I mean, it's not for everyone."
10,TrollTina,"I'm just here to stir up some trouble, let's get a fight going in the comments, who's with me?"
11,LilyP123,"I love this new feature, it's so easy to use and intuitive!"
12,TrollKing90,"This is the worst update ever, you guys are idiots and should be fired!"
13,SarcasticSally,"Wow, great job on breaking the app, I was getting so bored with it working properly."
14,HateSpeechHarry,"I don't think people of a certain race should be allowed to use this platform, they're ruining it for everyone else."
15,ProfanityPam,"This app is freaking amazing, I'm so f***ing happy with the new design!"
16,SpamBot3000,"Make money fast, click this link to earn $1000 in just one day: https://get.rich.quick"
17,NeutralNancy,"I'm not sure about this new update, I need to use it more to form an opinion."
18,Harasser2000,"You're so stupid for thinking this is a good idea, I'm going to make sure to report you to the admins."
19,ToxicTom,"This is the most garbage update I've ever seen, the devs must be a bunch of incompetent morons."
20,JokesterJim,"I'm just here for the free food, where's the pizza party?"
21,LilyLove23,"I absolutely adore this product, it's changed my life for the better!"
22,SarcasticSam,"Wow, this is the most amazing thing I've ever seen, said no one ever."
23,ToxicTom90,"You're an idiot if you don't like this, it's the best thing since sliced bread."
24,HateSpeechHarry,"People from that country are so ignorant and stupid, they don't deserve our respect."
25,ProfanePaul,"This product is freaking awesome, I love it so damn much!"
26,HarasserHank,"You're so ugly, I bet you can't even get a date, loser."
27,SpammySteve,"Check out this amazing website, it's got the best deals on fake watches and ray bans!"
28,NeutralNancy,"I'm not really sure about this product, I need to do some more research before I make a decision."
29,RacistRachel,"I don't think people of that race should be allowed to use this product, it's not for them."
30,TrollTina,"This is the worst product I've ever used, it's so bad it's good, lol what a joke."
31,EmilyChen23,"I loved this article, it's so informative and well-researched!"
32,SarcasticSam,"Wow, what a totally not-biased or misleading headline, great job guys"
33,SportsFan4Life,"The ref was blind, that was a total foul! You suck, Johnson!"
34,HannahBanana,"This product is amazing, I've been using it for weeks and I've seen such a difference!"
35,TrollMaster9000,"You're all just sheep following the mainstream media, wake up sheeple!"
36,ProfanityPete,"This movie is freaking awesome, I loved every damn minute of it!"
37,SpamBot3000,"Make money fast, click this link to learn how: https://getrichquick.com"
38,RachelRacist,"I don't think people of that race should be allowed to participate in this competition, it's just not fair"
39,Harasser2000,"You're so stupid for thinking that, I bet you can't even get a real job"
40,NeutralNancy,"I'm not really sure what to think about this issue, can someone explain it to me?"
41,tech_no_logic,"This is an amazing product, I highly recommend it to everyone!"
42,skeptical_sally,"I'm not sure about this, can someone explain how it works?"
